"ID1","ID2","name1","name2","group1","group2","1_item1_A","1_item1_B","1_item1_C","1_item2","1_item3_A","1_item3_B","1_item3_C","1_item3_D","1_item3_E","1_item4_A","1_item4_B","1_item4_C","1_item4_D","1_item5_A","1_item5_B","1_item5_C","1_item5_D","1_item5_E","1_item5_F","1_item5_G","1_item5_H","1_item5_I","1_item6_A","1_item6_B","1_item6_C","1_item6_D","1_item7","1_item8","1_item9_A","1_item9_B","1_item9_C","1_item9_D","1_item10","1_item11","1_item12_A","1_item12_B","1_item12_C","1_item12_D","1_item12_E","1_item13_A","1_item13_B","1_item13_C","1_item13_D","1_item13_E","1_item13_F","1_item14_A","1_item14_B","1_item14_C","1_item14_D","1_item15_A","1_item15_B","1_item15_C","1_item15_D","1_item16_A","1_item16_B","1_item16_C","1_item16_D","1_item17"," 2_item2"," 2_item3_A"," 2_item3_B"," 2_item3_C"," 2_item3_D"," 2_item4_A"," 2_item4_B"," 2_item4_C"," 2_item5_A"," 2_item5_B"," 2_item5_C"," 2_item5_D"," 2_item5_E"," 2_item5_F"," 2_item5_G"," 2_item6_A"," 2_item6_B"," 2_item6_C"," 2_item6_D"," 2_item7_A"," 2_item7_B"," 2_item7_C"," 2_item8"," 2_item9_A"," 2_item9_B"," 2_item9_C"," 2_item9_D"," 2_item9_E"," 2_item9_F"," 2_item9_G"," 2_item10"," 2_item11"," 2_item12_A"," 2_item12_B"," 2_item12_C"," 2_item12_D"," 2_item12_E"," 2_item13_A"," 2_item13_B"," 2_item13_C"," 2_item13_D"," 2_item13_E"," 2_item13_F"," 2_item13_G"," 2_item14_A"," 2_item14_B"," 2_item14_C"," 2_item14_D"," 2_item15_A"," 2_item15_B"," 2_item15_C"," 2_item15_D"," 2_item16_A"," 2_item16_B"," 2_item16_C"," 2_item16_D"," 2_item17_A"," 2_item17_B"," 2_item17_C"," 2_item17_D"," 2_item17_E"," 2_item17_F"," 2_item17_G"," 2_item17_H"," 2_item17_I"," 2_item17_J"," 2_item17_K"," 2_item17_L"," 2_item17_M"," 2_item17_N"," 2_item17_O"," 2_item17_P"," 2_item17_Q"," 2_item17_R"," 2_item17_S"," 2_item17_T"
"cm5lmphcz00a9ky08ss7ukbku","cm6v1naoq00h3ib081ov8ayuc","Albatross159","Albatross159",2,"3_O",3,1,2,"Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,4,5,2,5,4,1,2,4,1,1,1,1,1,1,3,1,3,2,1,5,5,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Neither agree nor disagree",4,1,4,1,"Agree","Agree",5,1,1,3,1,5,1,1,5,4,3,4,4,4,1,3,5,5,5,4,1,2,3,"Agree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,2,1,5,3,3,3,5,3,2,1,5,3,5,5,5,3,4,2,3,"Moderately disagree",5,1,4,1,1,4,5,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",4,5,5,5,5,5,3,3,1,5,2,1,1,1,3,5,5,2,5,3,2,3,1,1,5,5,5,5,5,5,5,3,1,5,3,5,1,3,5,1,5,NA,5,1
"cm610saj000ohl7086m0yn9it","cm733cqlc008zii08aefon6km","Alligator726","Alligator726",3,"1_S",3,3,2,"Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",4,5,5,5,5,4,3,4,4,4,5,4,4,5,3,5,4,3,4,3,4,4,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Moderately agree",2,2,1,1,"Agree","Neutral",1,1,2,2,1,4,5,4,4,3,3,3,2,4,5,4,4,3,2,3,2,4,4,"Agree","Serious research misconduct is rare relative to the amount of published research literature",4,5,4,5,4,5,5,4,4,3,2,4,4,3,4,4,5,4,4,3,3,"Moderately agree",4,4,5,5,5,5,3,"Agree, regardless of outcome of investigation","Agree",4,3,3,3,3,4,5,4,4,5,5,4,4,4,5,4,4,4,3,3,4,4,4,4,2,3,4,5,4,4,3,4,4,3,3,4,4,4,2,2,3,3,2,4
"cm5win2fb00gnjr081ygv04n4",NA,"Alpaca162",NA,3,NA,2,1,2,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,3,3,5,4,3,3,4,3,2,4,4,4,2,3,4,3,4,4,5,5,"neither positive nor negative on balance","Moderately agree",2,1,3,1,"Neutral","Agree",5,3,2,1,1,3,5,3,5,5,5,3,3,5,5,4,3,5,5,4,4,3,4,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cm5mmvczj009pmn08esbxak8w","cm74pndmo014pl208kgc0h6yd","Ant755","Ant755",1,"1_S",3,3,1,"Serious research misconduct is already common enough to pose a major threat to the research literature",4,5,4,2,4,4,1,3,4,5,4,3,4,5,2,4,3,3,4,3,5,4,"positive - it provides a route for speedy commentary when concerns are discovered","Strongly agree",1,3,2,4,"Agree","Agree",4,2,4,4,5,5,5,3,5,3,5,5,5,4,5,1,1,4,5,4,2,4,5,"Agree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,5,3,5,3,5,4,3,5,3,5,5,4,5,3,5,4,4,4,4,"Moderately agree",1,4,1,5,4,4,4,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",4,4,5,5,5,5,5,5,5,5,3,1,5,5,5,4,1,1,4,5,4,2,4,3,5,3,5,3,4,2,4,4,4,4,2,3,5,1,5,3,3,3,5,4
"cm5nkj0wj008ble08uii7dscg","cm71zc7ya00kxl809g8af2wry","Armadillo578","Armadillo578",3,"3_O",3,2,1,"Serious research misconduct is rare relative to the amount of published research literature",5,5,3,2,3,4,2,3,4,3,5,3,3,3,2,4,3,4,4,3,5,5,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Strongly agree",2,2,3,1,"Agree","Agree",1,1,2,3,4,3,3,1,5,5,4,5,5,4,4,3,4,3,4,5,2,4,3,"Agree","Serious research misconduct is rare relative to the amount of published research literature",5,5,5,3,5,3,3,4,5,3,3,3,3,3,5,5,5,5,4,2,4,"Moderately disagree",3,5,3,3,1,4,2,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",5,3,3,3,4,4,2,5,1,5,3,2,5,4,5,5,5,5,3,4,4,1,3,3,4,4,4,4,4,5,5,3,3,3,3,5,5,1,2,4,1,4,5,3
"cm5r47gta00phlb08klfaifyg","cm72mhw08001hkz08b4trhovz","Aurochs213","Aurochs213",2,"2_R",1,3,2,"Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",4,4,4,3,1,4,3,3,4,1,3,1,1,4,3,3,4,4,5,5,5,4,"positive - it provides a route for speedy commentary when concerns are discovered","Neither agree nor disagree",2,3,2,4,"Disagree","Neutral",2,5,5,2,1,5,3,5,5,4,1,2,2,4,5,1,1,4,4,1,1,4,1,"Agree","Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,4,4,4,5,4,5,5,4,3,3,5,4,3,4,4,5,5,4,4,4,"Neither agree nor disagree",3,4,5,5,3,2,2,"Disagree","Strongly agree",5,4,1,2,3,1,5,4,4,4,2,2,4,4,2,4,1,1,4,1,4,1,1,1,1,1,4,5,4,4,1,1,5,5,5,5,3,2,4,1,4,2,5,5
"cm5uwihld00zxmn08514wvgk1","cm70ybq8y009rjr08d7tm5mum","Avocet979","Avocet979",1,"1_S",1,3,2,"Serious research misconduct is rare relative to the amount of published research literature",5,4,5,2,5,4,4,4,4,4,5,2,5,5,2,4,2,2,5,5,5,2,"positive - it provides a route for speedy commentary when concerns are discovered","Strongly agree",3,4,2,3,"Disagree","Agree",4,3,4,5,5,5,5,5,5,5,3,5,5,5,5,4,4,4,5,5,3,3,3,"Neutral","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,5,5,5,3,5,2,4,4,5,5,5,4,4,4,5,2,5,4,4,"Strongly agree",3,5,2,5,4,4,4,"Disagree","Strongly agree",5,2,4,4,5,1,5,5,5,5,5,3,5,5,5,5,1,3,5,5,5,3,4,4,4,3,2,4,3,3,3,5,2,3,3,4,3,3,4,5,5,3,5,4
"cm5nxmiif00bvla08xpfg9wex",NA,"Axolotl982",NA,3,NA,3,1,2,"Serious research misconduct is already common enough to pose a major threat to the research literature",3,3,5,1,1,1,2,4,2,2,2,1,2,1,2,5,3,1,2,1,5,5,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Neither agree nor disagree",3,4,3,3,"Agree","Neutral",1,4,3,4,4,5,5,3,5,5,1,4,1,4,2,3,1,2,2,5,5,5,5,"Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cm5wfjist016hmn08umsyls7b",NA,"Baboon693",NA,2,NA,3,1,1,"Serious research misconduct is rare relative to the amount of published research literature",3,4,2,4,4,4,2,4,4,4,3,5,5,3,5,5,5,4,3,3,3,3,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Moderately agree",2,3,1,4,"Neutral","Agree",3,2,1,3,1,2,2,3,1,2,5,4,4,5,5,3,1,5,5,4,3,2,4,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cm5qeflpy005jju08bnstjknd","cm6pucupv0003ie08o9duffh5","Barnacle783","Barnacle783",2,"1_S",3,3,2,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,2,4,4,5,4,3,3,4,5,5,3,3,4,2,4,4,3,5,5,4,5,"neither positive nor negative on balance","Moderately agree",1,4,3,2,"Agree","Neutral",2,1,3,5,4,1,5,4,5,3,4,4,5,3,5,5,5,5,5,4,1,4,5,"Disagree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,2,4,4,5,5,5,5,5,3,3,4,4,4,5,5,4,5,4,1,3,"Moderately agree",5,3,3,4,3,2,2,"Agree, but only if investigation found evidence of serious research misconduct","Agree",2,2,3,5,2,1,2,5,4,5,5,5,4,5,5,3,5,5,5,5,4,1,3,5,4,3,4,5,2,5,3,4,3,3,3,4,4,4,3,4,3,3,5,5
"cm5kx80fo000xme08ql6ubi0p","cm6p0c3io01whjy08fgudt1cc","Barracuda781","Barracuda781",2,"2_R",2,1,3,"Serious research misconduct is rare relative to the amount of published research literature",1,2,3,3,1,1,2,1,1,3,1,3,2,4,NA,2,1,2,2,3,1,2,"neither positive nor negative on balance","Moderately agree",4,3,1,2,"Agree","Agree",5,1,2,4,3,2,1,2,1,1,3,1,3,3,2,1,1,2,4,2,4,3,1,"Agree","Serious research misconduct is rare relative to the amount of published research literature",5,5,4,4,3,4,5,5,3,2,2,2,2,4,3,3,5,3,2,1,1,"Strongly disagree",5,4,5,2,1,3,3,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",4,5,4,3,2,4,5,5,4,5,5,3,2,1,5,5,5,4,4,2,3,2,3,4,2,2,4,5,1,3,4,3,4,4,3,2,3,4,4,3,4,3,5,3
"cm5ld2fxb007hlh08nk36oc5o","cm6p44nbv00ini509u8ehc85x","Bat830","Bat830",1,"1_S",2,3,1,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,4,3,3,5,4,2,3,4,5,5,5,3,3,2,3,3,5,5,5,5,5,"positive - it provides a route for speedy commentary when concerns are discovered","Strongly agree",3,1,4,1,"Agree","Neutral",4,1,2,5,4,2,5,5,5,5,5,5,1,4,4,4,1,4,4,5,2,4,5,"Agree","Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,5,4,4,5,4,5,5,5,4,3,3,4,3,5,5,5,5,3,4,4,"Strongly agree",5,3,4,4,3,4,3,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",5,1,NA,5,3,1,1,5,5,5,5,4,4,2,5,4,5,2,3,5,5,4,5,4,1,2,2,5,5,3,3,3,3,4,NA,4,5,5,3,1,1,1,5,3
"cm5l195qx00idla088uscf859","cm6p2hve002prjy08738jizu2","Bear64","Bear64",1,"1_S",2,1,3,"Serious research misconduct is already common enough to pose a major threat to the research literature",3,4,5,1,2,1,4,3,2,2,4,1,2,3,2,4,4,4,5,3,4,2,"neither positive nor negative on balance","Moderately agree",2,1,2,4,"Agree","Agree",1,5,3,2,4,5,2,5,1,4,3,5,2,3,4,1,1,5,4,5,1,2,3,"Agree","Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",2,2,4,5,4,5,2,2,4,1,3,2,5,3,5,4,3,2,4,2,3,"Moderately agree",3,1,2,2,3,4,3,"Agree, regardless of outcome of investigation","Strongly agree",3,1,2,2,3,1,4,4,5,5,5,4,2,3,4,3,1,1,5,4,4,2,3,3,2,2,2,4,3,2,2,1,5,3,3,2,2,5,4,3,1,5,4,3
"cm5m2095d001rmk08ngpfmqxo","cm70mwt0q01xhjx08d0gcib34","Bison724","Bison724",3,"1_S",3,3,2,"Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,4,4,4,5,4,3,4,4,4,3,4,3,2,4,5,4,3,4,4,5,5,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Moderately agree",3,2,4,2,"Agree","Agree",4,3,4,4,5,5,5,5,4,3,2,2,2,4,5,3,4,5,5,3,2,5,4,"Agree","Serious research misconduct is rare relative to the amount of published research literature",5,4,5,3,5,5,5,4,5,3,3,5,4,4,4,5,5,3,4,3,4,"Moderately disagree",4,3,4,3,3,5,5,"Agree, but only if investigation found evidence of serious research misconduct","Agree",4,3,4,4,4,1,4,5,5,5,3,3,3,3,5,5,3,4,5,5,4,2,5,5,3,3,4,4,2,5,5,5,4,2,4,4,4,5,5,4,2,3,4,2
"cm5nxecaw008nla08kk0w1c5v","cm6yusffv00i9le087oturff6","Butterfly896","Butterfly896",2,"2_R",2,2,3,"Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,5,5,5,5,4,3,4,4,4,5,5,5,5,4,5,5,5,3,2,5,5,"neither positive nor negative on balance","Moderately disagree",4,1,2,1,"Agree","Agree",1,1,1,1,2,3,5,5,5,5,5,3,4,5,5,5,4,5,1,4,1,3,4,"Agree","Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",5,5,4,4,5,4,5,3,3,5,5,5,4,3,2,3,5,5,4,4,3,"Moderately disagree",4,4,4,5,5,4,5,"Agree, but only if investigation found evidence of serious research misconduct","Agree",5,5,4,4,5,1,3,4,5,5,5,5,4,4,5,5,5,4,5,1,5,1,3,2,4,5,5,5,4,3,5,3,3,4,5,5,4,3,4,4,5,5,5,4
"cm5qjtfx600r3jo08osv8xtj3",NA,"Caiman593",NA,1,NA,2,3,2,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,4,3,2,4,4,2,2,4,3,5,1,3,4,2,4,2,1,3,3,5,4,"positive - it provides a route for speedy commentary when concerns are discovered","Neither agree nor disagree",2,3,1,4,"Agree","Agree",5,4,1,2,3,3,4,5,5,4,4,3,3,4,5,3,3,4,5,5,3,4,5,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cm5nsvsqs00x1mn08tgnvbmrn","cm6p46eto00jti509zv07iaug","Capybara505","Capybara505",1,"1_S",2,1,3,"Serious research misconduct is already common enough to pose a major threat to the research literature",2,3,4,3,5,2,2,4,4,3,5,3,3,2,1,3,4,2,5,5,3,3,"positive - it provides a route for speedy commentary when concerns are discovered","Strongly agree",4,3,2,1,"Agree","Agree",2,5,4,3,1,5,5,3,5,5,5,5,5,5,2,1,1,5,5,4,2,1,4,"Neutral","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,5,5,3,5,5,5,5,1,3,3,2,3,5,5,5,5,5,4,4,"Strongly agree",1,2,1,3,1,2,5,"Agree, regardless of outcome of investigation","Agree",4,1,1,5,5,3,5,5,3,5,3,2,4,5,4,4,1,1,5,5,5,3,2,3,2,2,2,3,3,4,2,2,2,3,2,2,2,4,4,2,3,4,5,4
"cm5l6lsyp005dme08or48767l","cm71uoa2200dll509v73xdiks","Caterpillar546","Caterpillar546",2,"2_R",3,2,1,"Serious research misconduct is rare relative to the amount of published research literature",4,5,4,3,5,4,1,2,4,NA,1,5,4,1,2,2,4,3,2,2,4,3,"neither positive nor negative on balance","Strongly agree",3,2,4,2,"Agree","Agree",5,5,4,3,5,5,5,4,5,5,4,1,2,5,5,5,5,2,3,2,1,2,5,"Agree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,5,5,5,4,3,4,3,5,1,1,2,4,3,3,5,2,5,1,2,"Moderately agree",5,2,4,2,2,2,3,"Agree, but only if investigation found evidence of serious research misconduct","Strongly agree",4,5,NA,5,5,3,5,5,5,3,5,4,3,4,5,4,4,5,3,4,4,4,3,3,4,5,1,4,2,5,3,4,2,4,4,5,3,5,2,4,3,2,3,2
"cm5ln2ul900bxky08w46gvk8k","cm6tn5ujw00gzl8080ych6418","Chameleon166","Chameleon166",2,"2_R",3,2,1,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,4,3,3,5,4,3,3,4,5,2,4,4,4,2,3,3,2,3,2,5,5,"predominantly negative - it makes it too easy for vexatious individuals to raise unwarranted complaints, often under the guise of anonymity ","Moderately agree",3,2,1,1,"Agree","Agree",5,4,5,4,4,4,5,5,5,5,5,4,4,4,5,5,3,4,5,3,2,4,4,"Agree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,5,5,3,5,5,5,5,4,4,4,3,3,3,3,4,5,5,2,3,4,"Moderately disagree",2,4,4,5,5,3,3,"Agree, regardless of outcome of investigation","Neutral",5,5,4,4,4,1,3,2,5,5,5,4,4,4,5,4,4,5,5,5,2,4,4,2,3,2,5,4,4,4,4,3,5,5,5,5,5,5,5,3,5,4,5,3
"cm5l2y536012hla081jz7qnav","cm6v5h4he00sxk108thlv9z0a","Cheetah375","Cheetah375",1,"1_S",3,2,1,"Serious research misconduct is already common enough to pose a major threat to the research literature",5,4,5,5,5,3,2,3,4,4,4,3,3,4,4,4,2,3,2,2,5,5,"neither positive nor negative on balance","Strongly agree",1,2,3,4,"Agree","Neutral",3,1,4,4,5,4,5,4,5,5,3,4,4,5,3,3,3,3,3,4,4,5,3,"Agree","Serious research misconduct is already common enough to pose a major threat to the research literature",5,4,5,3,4,3,5,4,5,5,5,3,3,3,4,5,4,5,5,3,3,"Moderately agree",3,3,3,5,5,3,4,"Disagree","Disagree",5,3,3,5,5,4,4,4,5,4,5,4,4,4,4,5,3,5,5,2,4,3,5,5,1,1,1,4,3,2,5,4,2,1,2,1,2,2,3,2,2,3,3,3
"cm5o211jl00ipme0950fcpgmq","cm6vy6q9j00dpla089esdb5rt","Chicken118","Chicken118",1,"1_S",2,3,1,"Serious research misconduct is already common enough to pose a major threat to the research literature",3,5,3,4,2,2,1,4,3,2,5,5,5,4,2,3,3,3,4,4,3,3,"positive - it provides a route for speedy commentary when concerns are discovered","Strongly agree",3,2,4,4,"Agree","Agree",3,1,2,5,4,4,5,5,5,5,5,4,4,5,5,3,3,5,5,5,4,1,4,"Neutral","Serious research misconduct is becoming more prevalent and starting to pose a threat to the research literature",2,4,5,3,3,4,5,2,3,4,5,2,3,4,5,3,4,4,3,5,5,"Strongly agree",1,2,2,4,4,4,3,"Agree, regardless of outcome of investigation","Strongly agree",1,2,4,3,5,1,4,5,5,5,5,5,4,4,5,5,3,1,5,5,5,1,3,4,4,1,1,4,3,2,1,4,5,1,2,1,5,3,4,5,4,3,5,5
